Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Query1,25,17456,0,25608,6269.50,0.000%,.94942,3249.94,0.00,3505254.0
Query2,25,4822,0,9419,1847.63,0.000%,.84003,1406.76,0.00,1714861.0
Query3,25,539,0,836,155.21,0.000%,.88471,110.71,0.00,128146.0
Query4,25,223,0,330,53.61,0.000%,.89146,0.08,0.00,88.0
Query5,25,181,0,419,75.52,0.000%,.89407,0.28,0.00,325.0
Query6,25,206,0,502,88.64,0.000%,.89567,0.05,0.00,58.0
Query7,25,8755,0,20859,4354.67,0.000%,.51596,2036.75,0.00,4042205.0
Query8,25,249,0,647,97.87,0.000%,.52352,0.44,0.00,861.0
Query9,25,1376,0,2942,605.02,0.000%,.50236,254.98,0.00,519752.0
Query10,24,166966,0,186328,14735.50,0.000%,.11130,6793.11,0.00,62500686.0
Query11,24,118,0,183,32.80,0.000%,.23121,0.02,0.00,68.0
Query12,24,184,0,1609,311.49,0.000%,.23134,0.02,0.00,107.0
Query13,24,257,0,2357,448.95,0.000%,.23138,0.03,0.00,115.0
Query14,24,268,0,1101,282.79,0.000%,.23093,0.15,0.00,670.0
Query15,24,1421,0,4114,1015.30,0.000%,.22889,90.81,0.00,406265.0
Query16,24,146,0,528,127.93,0.000%,.23268,0.02,0.00,107.0
TOTAL,393,12493,0,186328,39871.07,0.000%,1.72524,7534.79,0.00,4472216.7
